타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,30,10,14,7,7,7
m,30,10,15,12,12,12
m,30,10,16,4,4,4
m,30,10,17,7,7,7
m,30,10,18,6,6,6
m,30,10,19,15,15,15
m,30,10,20,2,2,2
m,30,10,21,4,4,4
m,30,10,22,8,8,8
m,30,10,23,5,5,5
m,30,10,24,6,6,6
m,30,10,25,7,7,7
m,30,10,26,11,11,11
m,30,10,27,14,14,14
m,30,10,28,17,17,17
m,30,10,29,95,95,95
m,30,10,30,2207,2207,2207
m,30,11,1,9,9,9
m,30,11,2,4,4,4
m,30,11,3,12,12,12
m,30,11,4,18,18,18
m,30,11,5,10,10,10
m,30,11,6,5,5,5
m,30,11,7,7,7,7
m,30,11,8,6,6,6
m,30,11,9,7,7,7
m,30,11,10,4,4,4
m,30,11,11,5,5,5
m,30,11,12,6,6,6
m,30,11,13,5,5,5
m,30,11,14,10,10,10
m,30,11,15,6,6,6
m,30,11,16,11,11,11
m,30,11,17,14,14,14
m,30,11,18,3,3,3
